Category,Meal Name,Price Range
Soups,Efo riro (Vegetable soup),£75.00 – £180.00
Soups,Hake fish and assorted Efo riro,£80.00 – £185.00
Soups,Hake fish only Efo riro,£75.00 – £180.00
Soups,"Efo riro pro max (Goat meat, Eja kika and assorted meats)",£90.00 – £200.00
Soups,Egusi soup (Beef and assorted meats),£75.00 – £180.00
Soups,"Egusi pro max (Goat meat, Stockfish, Ponmo and assorted meats)",£90.00 – £200.00
Soups,Mackerel fish and assorted meats Egusi soup,£70.00 – £170.00
Soups,Assorted meats okra,£70.00 – £170.00
Soups,Seafood okra,£80.00 – £180.00
Soups,Seafood okra with Smoked Turkey,£80.00 – £180.00
Soups,Seafood okra with snails,£100.00 – £200.00
Soups,Okra Medley (Seafood and assorted meats),£85.00 – £190.00
Soups,"Okra medley pro max (Stockfish, Snails, Croaker fish, Eja kika and periwinkles)",£120.00 – £320.00
Soups,Afang soup,£85.00 – £190.00
Soups,Edikaikong soup,£85.00 – £190.00
Soups,Fisherman soup,£90.00 – £200.00
Soups,Ofe Oha soup,£90.00 – £200.00
Soups,Ofe Onugbu soup,£90.00 – £200.00
Soups,Ogbono soup,£70.00 – £180.00
Soups,Ogbono with okra soup,£75.00 – £185.00
Soups,Banga soup (Ofe Akwu) with Catfish and fresh prawns,£80.00 – £180.00
Soups,Banga soup (Ofe Akwu) with assorted meats,£70.00 – £170.00
Soups,Buka stew,£70.00 – £150.00
Soups,Ewedu,£25.00 – £90.00
Soups,Gbegiri,£30.00 – £100.00
Soups,Assorted meats Peppersoup,£70.00 – £150.00
Soups,Catfish pepper soup,£70.00 – £150.00
Soups,Goat meat pepper soup,£70.00 – £150.00
Soups,Tilapia fish pepper soup,£70.00 – £150.00
Soups,Egusi Ijebu (Egusi soup with no vegetables),£80.00 – £180.00
Soups,Ofe Nsala (white soup),£90.00 – £200.00
Stews,Chicken stew,£65.00 – £120.00
Stews,Turkey stew,£70.00 – £130.00
Stews,Boneless beef stew,£80.00 – £200.00
Stews,Goat meat stew,£70.00 – £140.00
Stews,"Multipurpose stew (Chicken, Beef and Saki)",£70.00 – £140.00
